job_id,service_category,service_subtype,zip_code,booking_month,job_description,estimate_lo,estimate_hi,original_estimate,final_price,deadline
a188b02f4a90,Plumbing,Plumbing,33484,2026-04,Replace kitchen sink shutoff valve (you supply valve),120,180,150,,As soon as possible
f338a66d1dc6,Roofing,Roofing,60649,2026-03,Replace 5–6 asphalt shingles on steep-pitch roof | i’m looking for help to repair or replace the shingles that fell from the roof. I still have the shingles if I can put them back up there and put ceiling over it for right now. That is what I’m looking for and what the cost is,450,900,675,,Within 1-2 weeks
8e48450ca7b5,Pest Control,Bed bugs,33324,2026-04,"Bed bug heat treatment, 2BR apartment",486.99,1168.77,827.88,697.03,Within 1 week
74361bf1b85b,Appliance Repair,Appliance Repair,33884,2026-04,Replace suspension rods on Samsung WA52M7750AV/A4 (parts supplied),110,220,165,,As soon as possible
b44891323cc7,Painting,Interior painting,33463,2026-03,Bathroom walls painting project,200,400,300,,As soon as possible
229564f3468d,Painting,House Painter,11030,2026-04,Exterior trim and fascia painting/staining with materials supplied | All exterior work prior to painting,550,1200,875,,As soon as possible
3a889422c6fa,Cleaning,Window washing (exterior),75062,2026-03,"Exterior window wash, 2-story, 20 windows",172.26,344.51,258.38,247.08,Flexible
7c7fead4c711,Plumbing,Toilet repair / installation,94803,2026-03,Running toilet diagnosis and repair | Toilet bowl is clogged,120,300,210,,I'm flexible
6b22d2aa2d70,Moving,Junk Removal,32819,2026-05,"Full garage cleanout, estimated 2 truckloads",435.39,870.78,653.09,561.44,Within 1 week
8301d2c253bb,Roofing,Roofing,39212,2026-04,Replace single asphalt roof shingle on low-pitch single-story,120,180,150,,Within 1-2 weeks
c9916ca5880d,Handyman,Door repair / installation,78258,2026-04,Move hinges on prepainted/finished interior door,140,260,200,,As soon as possible
411b255e8c92,Electrical,Ceiling fan installation,75216,2026-03,Install two supplied ceiling fans in bedroom | I have two ceiling fans that I need to be put up in two bedrooms,180,360,270,,Within 1-2 weeks
ae3f53ee778c,Pool,Pool Cleaner,45102,2026-04,"Empty, vacuum and leaf-clean an above-ground pool | 24 ft pool above ground",120,250,185,,Within 1 month
bab13030d2a4,Electrical,Electrician,60123,2026-04,"Supply and install 8–10 residential security cameras across four buildings | Three cameras on each building, have four rental buildings total",4800,8400,6600,,Within 1-2 weeks
9d205650ff45,Cleaning,"Pressure washing (driveways, sidewalks, patios)",7102,2025-11,"Pressure wash 2-story vinyl siding, 2000 sq ft",291.79,583.58,437.69,389.79,Within 1 week
8a993b22e181,Exterior,Deck / fence cleaning and staining,77465,2026-04,"Staining a small exterior deck (<200 sq ft), homeowner supplies stain | A wooden foot bridge across the ditch I have two of them",250,350,300,,I'm flexible
9ebeb6dc16e1,Cleaning,Deep cleaning,75050,2025-09,"Deep clean 3BR/2BA, 1800 sq ft, appliances included",178.57,357.13,267.85,277.45,Within 1 month
64915d049757,Electrical,Light fixture installation,30315,2026-04,Install supplied ceiling light at 10–14 ft ceiling | I need to have the dining room light installed in the kitchen light installed I'm actually switching the dining room light into the kitchen in the kitchen light into the dining room,150,350,250,,As soon as possible
0572f0f48c9d,Remodeling,Remodeling,78242,2026-04,"Built-in coffee bar to conceal 20.5"" wine fridge with countertop | I order on line a coffee bar with enough space for a wine refrigerator, when I was ready to assemble the bar, most of the pieces were broken",1150,2300,1725,,I'm flexible
43dcb1e9a64f,Plumbing,Plumbing,35215,2026-04,Replace single PVC/ABS sink P-trap (you supply) | need all pipes and grain done,120,180,150,,As soon as possible
533f4ff07f8d,Flooring,Flooring,64482,2026-04,"Repair/paint drywall and replace carpet with laminate in 14×20 room | The drywall needs patched where command strips have torn it up. I would then like the room repainted. Finally, the carpet removed and new laminate floor laid.",1600,2800,2200,,Within 1-2 weeks
f05ab264302e,Handyman,Furniture Assembly,60615,2026-03,Assemble one medium furniture item with provider-supplied hardware,120,180,150,,I'm flexible
8c99fd9fc5ec,Handyman,Drywall repair / patching,74003,2026-03,Install new drywall in single small room (~100 sq ft) | Small bathroom drywall installation & some cracks in other areas after house foundation correction,650,950,800,,As soon as possible
7fdc10869c66,Roofing,Roofing,75182,2026-04,Roof inspection for apex leak and flashing review | At top of chimney and roof in leak when hard rain.,150,350,250,,As soon as possible
6e0fa02a857e,Handyman,Furniture Assembly,96130,2026-04,Assembly of one small flat-pack furniture item | Sun glass rack assemble,50,90,70,,As soon as possible
395e09e946b0,Handyman,Furniture Assembly,21502,2026-04,Assemble 6+ flat-pack furniture items (all parts included),360,540,450,,As soon as possible
a8a0d7d7bc81,HVAC,AC repair,7111,2026-02,Replace blower motor on indoor air handler,283.52,567.04,425.28,352.37,Within 2 weeks
1f5e12a1dcc4,Painting,Interior painting,30168,2026-04,Paint large/open foyer and repair window counterbalance | Paint foyer and fix window. Window will not stay up on its own.,650,1400,1025,,Within 1-2 weeks
63ccce1a850e,Handyman,Door repair / installation,91745,2026-03,Repair sticking or warped interior door,150,350,250,,As soon as possible
7de53cf657da,Appliance Repair,Appliance Repair,60402,2026-04,Replace supplied fitting on automatic boba machine | Replacing two parts on a Automatic Boba Machine,120,180,150,,As soon as possible
2c0ae0244e75,Pest Control,"Wildlife removal (raccoons, squirrels, etc.)",33304,2025-10,"Squirrel removal from attic, seal entry",257.21,514.42,385.81,388.18,Flexible
aadce6517555,Appliance Repair,Appliance Repair,29681,2026-03,Replace water pump on Speed Queen washer (you supply pump),120,180,150,,As soon as possible
fa2be76c702f,Handyman,Handyman,36693,2026-03,Remove kitchen garbage disposal and cap drain,120,300,210,,As soon as possible
f79a832a1a7e,Pest Control,General extermination,60614,2025-07,"Quarterly pest treatment, 3BR house, interior and perimeter",71.98,134.97,103.47,92.05,Within 1 month
ae107f07f5d6,Appliance Repair,Appliance Repair,32789,2026-04,Fix dishwasher leaking from door seal,87.05,174.1,130.57,131.43,Flexible
4b4a19e757f9,Landscaping,Tree trimming / removal,32801,2025-09,"Remove dead 40-ft pine, stump grind, haul",845.67,1902.76,1374.21,1394.67,Flexible
79e6fa997f9c,Appliance Repair,Appliance Repair,76039,2026-02,"Repair fridge not cooling, check compressor",128.07,298.83,213.45,182.48,Within 1 month
f37fea625fae,Handyman,Handyman,84037,2026-04,Install 3–4 soft-close kitchen drawer glides (we supply) | Upgrade / replace kitchen drawer glides,300,450,375,270,Within 1-2 weeks
9bfc593c9d7f,HVAC,Air Duct Cleaning,7410,2025-08,"Full duct cleaning, 8-vent single story home",222.05,444.09,333.07,313.14,Within 1 month
b1e18522e501,Moving,Residential Moving,7076,2026-03,Move large safe from garage to 2nd floor,216.96,542.4,379.68,358.59,Flexible
44359e96d069,Electrical,Outlet / switch installation,20613,2026-04,Replace one standard electrical outlet | Need to replace Hoodrange.,100,180,140,,As soon as possible
af97d1baebca,Roofing,Roofing,11436,2026-04,Small localized roof tar patch | An area near the paraffin wall.,250,600,425,,As soon as possible
83f16a7746e6,Handyman,Handyman,95340,2026-03,Install supplied built-in dishwasher | Dish washer installation,120,300,210,,As soon as possible
9378bf2b31cc,Pest Control,Bed bugs,75228,2025-07,"Bed bug heat treatment, 2BR apartment",494.73,1187.35,841.04,929.11,Flexible
55e1be4b917b,Landscaping,Leaf cleanup / yard debris removal,59405,2026-05,Remove roots and rake gravel in <200 sq ft gravel areas | i need someone who can clean up landscape areas that have gravel in them and grass and weeds have taken over,200,350,275,,I'm flexible
d65c42f5766d,Electrical,Light fixture installation,11552,2026-03,Hang supplied light fixture on 10-ft ceiling,150,300,225,,As soon as possible
8117b9068ebe,Landscaping,Mulching,75062,2025-11,Spread 5 cubic yards of mulch in front beds,170.46,340.91,255.69,277.7,Within 1 month
1412d03a6dbf,Roofing,Roofing,75201,2025-06,Replace damaged ridge cap and seal pipe boot,145.33,290.66,218,178.19,Flexible
ed5a639fa5d2,Cleaning,"Pressure washing (driveways, sidewalks, patios)",33418,2025-10,"Pressure wash 2-story vinyl siding, 2000 sq ft",285.51,571.03,428.27,359.77,Flexible
